Customer ID,Age,Gender,Marital Status,Education Level,Geographic Information,Occupation,Income Level,Behavioral Data,Purchase History,Interactions with Customer Service,Insurance Products Owned,Coverage Amount,Premium Amount,Policy Type,Customer Preferences,Preferred Communication Channel,Preferred Contact Time,Preferred Language,Segmentation Group,Age_Group,Income_Level,Spending_Category,DBSCAN_Cluster
18370,63,0,1,0,0,5,74637,0,743,4,4,217452,2534,1,1,4,4,1,1,2,2,1,0
8820,26,1,0,2,7,0,67778,4,1335,4,2,528494,4231,2,3,1,0,2,4,0,2,2,0
41231,37,1,2,0,17,0,112335,2,1923,4,0,856229,765,1,2,1,3,2,2,0,0,0,0
51262,55,0,2,4,12,0,58019,1,79,0,4,868160,3522,2,1,3,0,1,3,1,2,0,0
87819,32,1,0,0,6,5,37520,0,1632,2,3,151121,658,2,0,1,3,1,4,0,1,1,0
14703,25,1,2,2,29,6,24189,4,1033,1,2,326765,4696,2,0,0,2,3,3,3,1,2,0
12417,32,1,1,2,11,6,128040,0,36,3,2,742242,2845,0,3,2,0,2,3,0,3,0,0
65263,35,1,1,2,0,5,67256,3,583,4,1,332112,4425,2,4,4,4,1,1,0,2,2,0
73847,31,1,0,1,13,3,146443,2,943,1,2,654643,746,0,0,2,0,0,4,0,3,0,0
79847,19,0,0,3,13,0,113651,3,1586,3,2,823374,2142,0,2,2,1,4,4,3,0,0,0
78289,58,1,3,0,15,8,147378,4,1486,3,4,763019,4476,1,4,1,4,3,3,1,3,0,0
72110,46,1,0,0,31,1,118538,0,1523,3,1,684167,3183,2,4,1,0,4,1,1,3,0,0
20921,70,1,4,1,11,5,101737,2,1576,0,1,482969,1096,2,3,1,3,1,4,2,0,2,0
34632,37,0,2,2,33,3,123802,1,983,2,4,258174,4908,3,2,0,3,1,0,0,3,1,0
70253,33,1,1,2,0,3,82416,0,1877,0,1,174866,4732,2,1,0,2,2,4,0,0,1,0
71562,47,1,3,2,27,2,88951,1,157,1,2,829846,878,0,0,1,0,3,0,1,0,0,0
82327,24,0,1,0,30,6,52915,0,900,4,1,567389,3436,2,4,3,2,4,4,3,2,2,0
21930,22,1,1,1,4,6,54421,3,1683,3,2,768556,3124,0,1,2,0,4,3,3,2,0,0
1580,54,0,2,3,9,2,37936,2,210,1,4,377337,2120,3,0,3,3,4,0,1,1,2,0
25488,39,1,2,0,28,2,56990,3,708,1,0,256779,749,2,2,2,3,2,3,0,2,1,0
18193,55,1,0,2,26,3,145028,2,498,0,4,208848,678,2,4,2,2,1,0,1,3,1,0
37708,54,0,0,0,19,7,52907,4,784,4,0,455191,2683,2,3,3,4,4,2,1,2,2,0
38779,45,1,4,4,12,6,113191,0,782,1,1,587837,3157,3,0,0,4,3,0,1,0,2,0
32858,29,0,1,1,13,2,119253,3,201,2,3,723741,4525,2,4,1,4,4,3,0,3,0,0
1178,54,1,4,1,8,6,109536,4,1656,3,2,233215,4697,2,4,0,2,0,4,1,0,1,0
83305,54,1,0,4,33,7,79352,2,1498,4,0,535585,1634,2,2,4,3,1,1,1,2,2,0
12984,20,1,0,3,10,1,147798,2,1773,4,3,196526,4538,3,1,2,4,3,0,3,3,1,0
61118,58,1,0,3,2,3,25575,1,857,3,1,776715,4480,3,3,1,1,0,4,1,1,0,0
18392,26,1,1,3,15,7,66840,3,1950,2,4,291328,4492,1,2,3,2,4,3,0,2,1,0
70686,65,0,1,2,29,5,145441,0,1854,4,2,340572,1897,2,0,1,1,0,2,2,3,2,0
49715,34,0,0,2,4,7,57700,4,1687,0,2,214206,2692,1,1,3,0,3,0,0,2,1,0
36274,19,1,1,3,23,7,70684,1,1740,4,0,465330,3107,2,4,3,4,2,3,3,2,2,0
1265,67,0,0,2,16,0,35546,3,1665,3,4,166427,4206,2,1,3,3,2,3,2,1,1,0
77302,19,0,3,1,13,5,53779,2,1764,1,4,345074,4225,2,4,3,2,1,1,3,2,2,0
76133,46,1,1,0,2,0,113383,0,651,0,0,766332,4915,1,0,0,0,2,4,1,0,0,0
43710,39,0,4,3,33,2,109429,1,177,1,2,94636,3656,2,2,0,1,2,1,0,0,1,0
47109,41,1,4,0,20,3,113399,1,1915,0,1,813376,4458,3,2,0,1,0,4,1,0,0,0
65882,45,0,2,4,0,7,65649,3,587,2,3,98777,4752,1,0,3,4,4,3,1,2,1,0
54115,42,1,1,4,2,3,117117,3,1346,0,0,569715,1055,1,3,3,4,2,2,1,3,2,0
1145,64,1,1,0,17,7,115875,0,1097,4,1,193972,1753,2,0,1,3,4,2,2,0,1,0
9915,69,0,1,2,13,3,123212,1,76,1,4,803845,4379,2,2,1,3,3,1,2,3,0,0
27875,38,1,0,4,2,8,72150,0,1692,2,4,919737,4452,2,0,2,2,0,2,0,2,0,0
4250,49,1,2,4,20,3,146643,2,1540,2,4,89520,3867,0,1,1,0,4,3,1,3,1,0
31994,40,1,3,1,11,7,97175,1,1479,0,2,370675,4835,1,2,4,3,0,2,0,0,2,0
44854,29,1,4,0,28,0,50114,0,979,2,4,258846,4685,3,4,3,3,2,3,0,1,1,0
14453,67,0,1,2,17,8,24680,2,323,4,0,863368,3389,2,0,3,2,3,1,2,1,0,0
34957,46,0,2,2,4,4,28574,0,1686,0,0,161137,2814,0,0,4,1,4,1,1,1,1,0
10542,33,0,3,0,33,4,102762,1,958,0,0,717551,4245,2,4,0,4,0,0,0,0,0,0
33695,43,0,3,0,10,5,54933,0,626,0,1,595882,4761,0,3,2,4,1,2,1,2,2,0
98154,44,0,0,4,11,3,93649,2,1931,0,1,769026,4638,2,2,0,1,1,0,1,0,0,0
28725,47,0,1,2,2,0,27107,0,780,3,2,260611,3612,1,3,1,4,2,0,1,1,1,0
90029,49,1,1,1,6,8,43214,2,1414,3,1,751306,3373,1,1,0,4,2,2,1,1,0,0
6304,25,1,1,3,17,8,30596,2,1076,2,4,173674,4264,0,4,3,2,4,3,3,1,1,0
45490,40,1,3,3,14,8,43777,4,865,2,0,363235,3640,0,0,1,0,3,1,0,1,2,0
94162,64,1,4,4,5,7,144568,0,940,0,4,286677,3167,1,3,0,0,3,4,2,3,1,0
83711,31,1,0,0,23,8,29002,4,978,3,3,865530,2611,2,2,3,2,1,2,0,1,0,0
1981,52,0,1,2,27,7,102397,4,1673,3,3,370492,1805,0,2,3,4,0,1,1,0,2,0
81054,69,0,0,3,19,2,50850,2,1455,4,2,621777,4839,0,3,3,3,3,1,2,1,2,0
32306,19,0,3,3,10,1,35359,4,1928,3,2,888773,4566,0,2,0,0,0,1,3,1,0,0
39286,32,1,3,0,23,5,96946,4,1200,0,2,707707,2186,2,2,0,1,2,2,0,0,0,0
3835,37,0,2,1,26,1,66531,4,183,4,4,591469,4539,2,3,1,0,1,1,0,2,2,0
13116,24,0,0,4,16,2,135104,1,1595,0,1,777939,4556,2,1,3,2,1,1,3,3,0,0
95291,26,1,0,0,11,3,81284,4,526,0,2,186237,3563,0,0,2,1,1,1,0,0,1,0
6286,36,1,3,2,31,7,32189,2,445,2,4,364558,3096,1,0,3,3,0,1,0,1,2,0
98075,44,1,4,0,20,3,78530,0,1514,1,1,195937,1198,3,4,1,3,3,1,1,2,1,0
73794,69,0,0,3,6,2,90150,2,1455,3,4,359430,2778,2,0,0,2,1,4,2,0,2,0
82415,50,1,4,4,26,0,63329,2,657,3,4,469626,4428,1,0,2,4,0,3,1,2,2,0
76571,26,1,4,3,18,3,42481,2,485,0,3,344414,3394,0,2,3,2,1,3,0,1,2,0
11736,43,1,4,3,8,6,123549,0,700,3,1,930950,3561,3,2,1,4,0,0,1,3,0,0
14314,47,0,4,4,25,5,69302,0,179,2,0,201609,1848,2,0,1,3,0,1,1,2,1,0
69266,39,1,0,0,32,6,110597,1,1044,0,4,276567,1824,2,4,0,3,1,0,0,0,1,0
34037,63,0,1,4,6,0,75690,2,463,2,0,408234,4428,0,4,3,2,1,3,2,2,2,0
48200,46,0,4,4,7,3,110599,2,1887,0,4,221352,2249,0,2,3,3,1,2,1,0,1,0
81141,37,0,1,4,5,1,115177,0,692,0,0,181932,3954,3,3,4,4,1,1,0,0,1,0
95345,63,0,1,1,20,5,103959,1,772,0,4,228240,1664,0,2,0,4,2,0,2,0,1,0
2171,43,0,2,4,33,1,132472,2,1300,4,4,916212,3164,3,2,3,3,1,0,1,3,0,0
75535,53,0,2,2,26,2,114616,0,2012,3,0,737122,1055,0,3,0,2,0,4,1,0,0,0
49201,25,1,3,0,2,1,124813,2,432,2,1,512051,3405,1,2,2,4,4,3,3,3,2,0
63028,42,0,4,2,22,7,37809,1,279,2,0,307717,4553,2,0,1,0,1,0,1,1,1,0
77149,23,0,1,3,4,5,134247,3,1761,3,4,302105,1679,2,0,1,1,2,4,3,3,1,0
78884,62,1,0,2,8,7,143702,4,418,4,1,161598,4510,3,4,2,3,1,1,2,3,1,0
65411,31,0,1,3,14,4,81870,2,1346,3,2,824952,3579,1,4,2,0,1,0,0,0,0,0
89498,64,1,0,3,2,8,138406,4,914,2,1,760547,3916,2,2,0,4,0,2,2,3,0,0
44936,50,0,1,4,13,1,67731,0,1143,0,4,768823,4840,2,3,3,2,4,3,1,2,0,0
22923,63,1,1,1,2,4,67672,1,1895,3,2,281852,3666,2,0,2,4,0,4,2,2,1,0
63545,37,0,0,4,27,2,140704,3,782,1,0,306686,4361,2,1,2,3,2,1,0,3,1,0
48428,48,0,3,0,7,6,90737,1,1982,4,0,687965,4673,0,1,4,3,2,4,1,0,0,0
45307,36,0,1,4,20,0,120723,4,1283,2,0,62684,4899,2,0,1,3,2,1,0,3,1,0
66548,70,0,1,1,29,6,67108,2,524,0,2,196965,4542,2,4,0,3,2,0,2,2,1,0
67121,69,1,0,4,0,0,77602,0,1875,0,4,970562,4865,2,4,3,3,1,1,2,2,0,0
3494,54,0,1,2,34,5,93518,1,921,3,2,711805,3769,0,1,1,1,1,4,1,0,0,0
37282,59,1,1,0,13,6,58493,3,134,4,4,256536,3825,1,0,4,3,3,3,1,2,1,0
87052,33,1,0,3,11,4,43470,2,491,1,4,965379,3203,3,4,0,4,2,0,0,1,0,0
35843,54,0,0,0,11,0,30465,3,46,0,4,497316,3225,0,3,2,2,1,3,1,1,2,0
85156,43,0,1,2,10,4,115608,0,848,4,0,81977,3838,0,1,1,1,1,1,1,0,1,0
29876,67,0,4,2,30,5,58505,1,344,3,1,177759,3384,2,0,1,2,3,2,2,2,1,0
34519,69,0,3,3,21,7,99394,1,1212,4,4,587468,1517,1,4,4,3,0,3,2,0,2,0
31780,70,1,3,0,31,3,47432,0,226,0,0,753603,2282,1,1,1,3,4,4,2,1,0,0
70158,64,1,3,4,13,2,114682,4,1442,3,1,683448,1059,2,4,4,1,4,4,2,0,0,0
95349,25,0,2,0,23,5,102077,0,861,2,1,778405,3456,0,4,2,4,4,3,3,0,0,0
63998,41,0,1,3,14,2,66360,0,1290,3,0,701029,1078,0,3,1,4,0,3,1,2,0,0
67840,58,1,0,2,2,7,118956,4,901,3,1,238531,3920,2,1,4,3,2,4,1,3,1,0
36706,23,1,1,3,2,0,134337,0,382,2,1,203922,3945,1,0,1,3,2,4,3,3,1,0
68540,69,1,4,3,1,0,35652,2,1384,4,1,668914,2369,1,2,3,3,1,4,2,1,0,0
86964,25,1,0,0,20,3,124928,3,542,2,3,195724,2847,2,3,1,1,3,4,3,3,1,0
34801,62,0,2,2,33,7,40259,2,1571,1,3,430143,3112,2,3,4,4,3,0,2,1,2,0
75768,61,0,1,4,5,7,53862,1,157,4,4,303620,3814,3,1,3,0,4,3,2,2,1,0
85211,68,0,3,4,27,3,127020,3,1964,3,4,351094,3516,0,1,3,1,3,3,2,3,2,0
70321,61,1,4,3,25,0,86547,4,1677,1,2,722092,1745,0,4,2,1,2,2,2,0,0,0
33337,28,1,2,1,0,7,133135,2,1906,2,3,948103,2912,0,2,1,2,2,2,0,3,0,0
74020,34,1,3,3,18,7,44862,1,1022,1,2,773885,1501,0,4,3,4,1,3,0,1,0,0
67263,19,0,4,3,10,5,106908,2,46,3,0,209476,2842,0,1,1,4,2,0,3,0,1,0
66660,49,0,0,0,18,1,78936,4,307,3,1,150529,3673,2,0,1,3,2,1,1,2,1,0
88664,23,1,1,4,10,4,24406,4,692,0,1,765061,3829,2,2,4,3,3,4,3,1,0,0
68496,61,0,1,1,13,7,113719,4,40,0,2,94597,3576,3,2,3,4,3,4,2,0,1,0
6297,60,0,1,4,17,1,103889,2,1070,3,0,638114,3421,2,1,3,0,1,4,1,0,0,0
64592,70,0,1,1,34,1,101167,4,910,4,2,227537,2253,2,2,3,0,2,2,2,0,1,0
2687,38,0,3,3,10,6,86353,4,1432,0,1,776632,3898,3,0,0,3,2,2,0,0,0,0
47532,36,0,2,0,11,4,115890,2,956,2,4,529627,4036,2,3,1,1,2,4,0,0,2,0
26369,57,1,0,4,32,3,92449,1,896,4,1,147645,999,1,4,1,4,0,0,1,0,1,0
51930,51,0,0,3,24,6,55966,3,1779,4,4,485601,4881,2,2,1,1,1,4,1,2,2,0
25486,61,0,4,4,28,3,82331,4,479,3,1,168649,4192,3,1,0,1,1,3,2,0,1,0
40734,62,0,2,2,9,8,69504,4,1334,4,4,156662,3311,0,3,1,1,1,4,2,2,1,0
69412,30,0,2,0,4,8,52857,1,1305,2,2,885261,3536,1,2,2,3,2,0,0,2,0,0
32935,56,1,4,2,4,8,79970,2,10,4,2,856718,1212,0,4,3,2,1,0,1,2,0,0
8504,56,1,1,0,10,3,105719,1,267,0,4,94600,4486,0,2,0,3,2,3,1,0,1,0
29814,45,1,1,0,17,2,50767,0,1186,4,3,351468,4420,1,4,0,3,0,1,1,1,2,0
11719,40,0,2,2,7,2,48288,1,1034,3,4,167061,3651,2,4,2,0,2,0,0,1,1,0
42702,52,1,0,0,9,1,112011,1,2,0,2,746151,613,1,4,4,4,0,4,1,0,0,0
34999,24,0,0,2,20,7,149464,0,1212,0,1,153135,2631,0,4,1,1,3,1,3,3,1,0
89780,43,1,2,2,24,8,101243,1,940,2,3,412212,4399,0,2,0,1,1,3,1,0,2,0
30142,69,0,1,2,32,7,140080,0,1729,0,2,196614,4855,1,0,3,0,2,4,2,3,1,0
49432,54,1,3,0,30,7,117512,2,1326,3,1,385358,1633,0,1,2,4,3,0,1,3,2,0
75848,37,0,2,4,23,3,49636,3,835,4,3,508312,4518,2,1,1,1,3,3,0,1,2,0
64992,36,1,3,1,32,5,101350,2,1103,2,3,752482,3498,2,0,4,2,4,2,0,0,0,0
33532,35,0,1,0,23,1,112580,4,1155,3,2,322058,1229,2,4,0,3,3,4,0,0,2,0
3597,48,0,0,0,1,8,95165,1,1641,1,1,770355,2606,0,2,2,0,4,4,1,0,0,0
66176,31,0,0,0,15,3,99606,1,311,3,1,100227,1601,1,2,4,1,4,4,0,0,1,0
38859,62,0,2,4,22,4,31291,0,310,2,2,413718,2201,2,2,1,4,0,0,2,1,2,0
43545,69,1,0,0,26,1,82101,1,1625,0,3,785474,4323,2,2,1,0,2,1,2,0,0,0
8755,19,1,4,0,2,3,55910,2,335,2,0,562522,4295,0,2,3,2,0,4,3,2,2,0
94257,41,0,2,2,21,5,54695,0,1609,2,1,158818,3283,1,0,1,4,1,1,1,2,1,0
65755,23,0,1,4,33,4,72915,2,109,3,0,376672,3468,3,1,2,2,1,4,3,2,2,0
30636,39,0,0,2,30,6,90841,3,297,1,4,124714,3640,0,0,3,3,2,0,0,0,1,0
88617,37,1,3,3,14,3,34112,2,685,0,0,843019,3611,2,1,3,2,2,0,0,1,0,0
67360,55,1,3,1,1,2,49648,1,60,1,1,142567,2540,2,2,4,4,0,4,1,1,1,0
10498,56,1,0,0,18,4,119314,3,1379,2,2,441791,4816,3,4,0,4,2,4,1,3,2,0
90317,38,1,0,4,5,8,144534,2,1434,3,1,146108,3174,0,3,4,2,0,4,0,3,1,0
21673,67,1,2,0,1,3,115251,2,223,0,1,882757,4687,0,2,3,3,0,4,2,0,0,0
4535,26,0,2,3,30,1,32903,3,1007,0,4,929136,4713,2,0,1,1,3,1,0,1,0,0
4116,53,0,4,1,32,2,122836,2,1053,1,0,83241,638,1,1,2,0,1,0,1,3,1,0
10457,40,0,2,4,4,8,29905,4,127,4,1,343042,3585,2,1,4,3,4,3,0,1,2,0
31456,21,0,1,3,17,1,31013,0,1892,2,3,394187,1602,2,1,1,0,3,0,3,1,2,0
70003,25,0,1,2,29,7,55632,3,1682,3,2,528798,3438,2,3,4,2,3,4,3,2,2,0
46191,38,1,0,3,21,0,131033,2,813,3,0,630989,3426,2,1,2,3,1,4,0,3,2,0
48043,20,0,2,4,17,7,34929,2,607,4,0,133624,2541,2,2,1,1,2,2,3,1,1,0
34576,26,1,3,3,0,7,68904,4,1688,0,0,184509,3359,1,2,0,1,2,3,0,2,1,0
65748,21,0,3,3,2,0,126666,1,1696,3,4,380570,747,0,1,4,3,2,2,3,3,2,0
29339,26,1,4,4,24,2,109299,2,3,3,0,748421,3678,1,3,3,3,2,1,0,0,0,0
63809,43,1,3,4,31,4,108931,2,1811,0,3,415485,3165,3,3,4,3,3,3,1,0,2,0
63356,41,1,1,1,24,1,77914,0,313,1,4,882770,1913,2,3,1,0,2,4,1,2,0,0
78586,44,1,4,2,12,3,64742,4,594,2,4,263689,2393,1,2,0,3,2,1,1,2,1,0
35949,25,0,4,1,4,3,127827,4,1697,3,3,615054,2177,0,2,0,3,0,3,3,3,2,0
10240,31,1,0,4,6,0,41019,0,510,3,1,894998,3487,0,3,1,4,1,4,0,1,0,0
38645,38,0,2,3,33,0,115102,4,1212,4,1,386088,4536,2,2,2,0,4,1,0,0,2,0
86773,37,1,3,3,23,4,26341,3,984,0,0,669410,1473,2,1,2,3,4,0,0,1,0,0
56139,66,0,0,4,17,8,141126,1,580,1,3,193728,3092,2,0,1,4,4,3,2,3,1,0
42678,62,1,3,0,2,0,112659,3,624,3,3,176693,2989,2,2,1,1,2,0,2,0,1,0
44294,59,0,1,0,34,1,132297,0,1775,3,4,767907,4679,2,1,2,1,1,3,1,3,0,0
70336,35,0,3,4,31,1,69443,1,163,3,2,837567,3476,0,4,3,2,4,3,0,2,0,0
22984,37,0,2,3,0,4,34749,1,2003,3,0,476040,3740,2,0,1,1,3,4,0,1,2,0
47583,19,0,0,1,0,5,133353,2,471,3,0,767581,3994,1,3,3,1,2,0,3,3,0,0
91260,63,0,4,1,10,0,122696,2,23,4,2,903379,4480,2,3,2,1,1,2,2,3,0,0
85333,37,0,0,0,34,0,35991,0,850,3,0,442238,4835,2,0,3,2,2,2,0,1,2,0
76228,38,0,0,3,7,2,39201,2,369,3,4,393436,4529,2,3,2,2,3,4,0,1,2,0
23645,41,0,0,0,33,7,120400,3,1018,3,4,240546,3085,0,0,0,3,2,4,1,3,1,0
87666,22,0,0,3,8,5,119622,4,907,3,4,425967,4142,3,0,4,0,4,4,3,3,2,0
40047,70,0,4,2,12,1,107760,1,1643,2,0,245118,3659,2,0,2,3,1,3,2,0,1,0
11373,47,1,0,4,23,5,146706,2,943,1,4,300353,3027,2,2,0,2,3,1,1,3,1,0
22823,51,1,3,2,9,3,63269,4,1120,0,3,776687,1277,0,2,4,0,1,4,1,2,0,0
25119,33,0,2,1,18,2,134760,0,1929,2,4,633049,3045,3,1,1,4,1,3,0,3,2,0
88155,62,0,0,1,1,6,98349,3,815,3,1,571404,4376,1,3,0,3,2,3,2,0,2,0
65549,43,1,1,0,24,4,103245,1,226,4,0,740436,1059,1,1,3,1,1,0,1,0,0,0
64221,26,1,3,3,27,8,122145,2,734,1,2,811363,4631,2,4,1,0,2,4,0,3,0,0
36588,32,0,0,0,12,8,32420,0,2012,2,1,202613,2979,0,0,2,3,0,4,0,1,1,0
20066,54,1,1,3,17,0,89700,1,1191,0,1,755146,1348,0,2,1,0,4,3,1,0,0,0
88437,33,0,0,0,27,1,79616,1,1724,4,0,397082,1468,1,3,3,4,4,4,0,2,2,0
86409,63,0,2,0,3,6,90368,2,998,3,2,167879,4405,3,3,3,3,1,3,2,0,1,0
83377,49,1,1,4,18,0,137913,4,931,1,4,695045,3907,3,4,1,0,0,0,1,3,0,0
44423,44,0,0,0,5,3,118110,2,2006,4,2,419495,953,3,2,3,4,2,2,1,3,2,0
80641,27,0,4,4,9,7,137728,2,1514,2,4,160558,3524,2,4,3,3,3,3,0,3,1,0
24281,57,1,3,0,1,8,35785,2,800,2,1,381479,4541,1,0,3,2,4,1,1,1,2,0
89710,64,1,1,2,7,5,100959,2,1717,1,1,868195,2494,0,0,1,1,0,4,2,0,0,0
94201,37,1,0,4,2,8,25927,4,82,0,4,955915,4518,2,1,0,1,1,1,0,1,0,0
34230,30,0,2,3,6,6,40087,1,944,3,0,174380,4394,2,0,1,3,1,2,0,1,1,0
35396,69,1,1,1,27,7,118894,1,30,0,1,263734,3732,2,2,3,4,4,4,2,3,1,0
95948,50,1,1,2,32,8,106068,3,1596,0,0,193753,2666,2,3,2,2,0,2,1,0,1,0
98404,31,0,2,1,16,0,62515,0,1352,1,3,747045,4441,2,3,1,0,2,3,0,2,0,0
66208,45,1,2,3,8,4,20105,1,1643,3,1,177197,3591,2,1,3,3,4,1,1,1,1,0
86509,62,1,1,1,2,1,143771,3,210,1,4,599171,1624,3,3,2,4,4,4,2,3,2,0
53498,52,1,0,0,7,0,100270,0,1498,0,0,556841,4572,1,3,4,0,1,3,1,0,2,0
11941,43,1,4,1,4,3,55712,2,270,0,1,885653,4866,3,1,0,2,0,2,1,2,0,0
26269,29,1,3,3,13,6,75248,2,1582,3,3,198081,2928,1,1,0,4,1,0,0,2,1,0
46529,69,0,4,0,8,7,46834,0,729,3,1,325236,4846,2,2,2,1,0,4,2,1,2,0
87321,25,0,0,3,9,6,44096,0,779,1,3,520957,1185,2,1,2,4,0,1,3,1,2,0
33103,23,0,4,1,20,2,43569,4,1893,3,1,583403,1553,0,3,2,0,0,3,3,1,2,0
7919,41,0,0,0,26,4,121899,1,1021,1,4,440488,1785,1,2,1,2,4,0,1,3,2,0
87057,42,0,1,0,21,7,44315,2,268,4,1,625520,4033,0,1,0,2,1,1,1,1,2,0
37086,30,0,3,2,8,2,136912,0,33,0,0,286481,3178,2,0,1,4,1,4,0,3,1,0
42400,41,0,4,3,5,2,92987,1,2004,3,1,182445,4793,0,3,3,2,0,2,1,0,1,0
45217,54,0,0,1,20,1,132455,2,619,3,0,760614,2434,3,1,0,4,1,3,1,3,0,0
871,63,0,3,1,14,3,42602,1,1042,2,1,364293,4492,2,4,2,4,1,4,2,1,2,0
13273,19,0,3,2,5,4,112475,0,1341,3,1,543926,3688,2,3,1,3,2,3,3,0,2,0
61241,67,0,0,3,18,1,67872,2,94,3,1,91654,3627,1,1,3,1,1,2,2,2,1,0
8967,34,0,0,1,22,2,99408,1,1468,0,1,664021,1752,0,0,1,3,2,1,0,0,0,0
39745,55,0,1,2,3,8,105845,0,78,0,0,139675,710,2,2,4,2,0,2,1,0,1,0
69751,35,1,3,0,3,3,35058,1,1330,0,3,510595,2111,3,3,1,0,4,4,0,1,2,0
80190,37,0,1,4,6,1,28140,4,418,1,4,564194,2487,2,3,0,4,3,1,0,1,2,0
74242,19,0,0,1,14,8,73099,0,824,0,2,289815,3097,0,4,4,3,0,4,3,2,1,0
28740,51,0,1,0,3,0,110215,3,895,0,0,421218,754,2,1,4,2,2,1,1,0,2,0
34369,26,1,4,1,4,8,105087,4,1390,0,4,179519,4586,2,4,1,0,4,1,0,0,1,0
50779,42,0,3,2,18,7,123215,2,510,3,0,351153,3613,2,4,1,4,1,2,1,3,2,0
33136,47,1,3,2,2,7,30917,1,1151,3,3,300739,3625,2,2,1,3,0,2,1,1,1,0
69892,49,0,3,4,31,7,68488,0,1342,4,3,430692,3146,1,1,0,3,2,3,1,2,2,0
44965,69,1,0,0,13,7,109565,0,114,3,0,333981,1622,1,4,1,3,0,0,2,0,2,0
51841,47,0,3,1,11,0,28534,0,1305,1,1,482955,643,0,3,0,4,1,1,1,1,2,0
79487,34,0,1,3,3,4,127472,2,1143,3,1,716169,1661,1,2,2,3,2,4,0,3,0,0
79372,19,1,1,4,32,8,27303,1,243,4,0,394872,2955,1,2,1,2,1,2,3,1,2,0
2649,19,1,4,3,29,4,35947,0,210,0,2,498943,3966,2,0,1,1,1,0,3,1,2,0
68266,40,1,0,4,26,1,143035,1,952,0,1,615509,1808,0,4,4,0,1,0,0,3,2,0
45245,39,1,1,3,31,7,112346,3,519,3,4,488098,3520,2,0,4,4,4,3,0,0,2,0
55771,60,0,4,0,27,3,72185,0,979,3,4,286453,2814,2,3,2,4,1,1,1,2,1,0
79603,36,0,0,0,27,8,66857,0,1015,0,2,76036,1662,1,1,2,1,0,4,0,2,1,0
43720,66,0,1,1,3,4,110054,0,1332,0,4,303677,1825,0,3,2,4,1,4,2,0,1,0
16346,49,0,1,2,32,8,141993,3,378,1,3,700901,781,2,1,0,3,0,3,1,3,0,0
63491,36,1,1,4,31,0,40836,1,44,4,2,674887,1047,3,3,4,4,2,3,0,1,0,0
41101,67,0,0,3,18,4,45855,2,1692,1,1,355086,4512,3,1,4,3,0,0,2,1,2,0
89364,58,1,1,1,23,5,136670,3,482,0,4,119031,1708,3,4,4,3,4,4,1,3,1,0
48573,53,0,4,2,34,2,40696,1,583,4,3,889966,2204,2,2,0,2,2,1,1,1,0,0
